Capability,Tool,Status,Integrated,Working
General,test_probe_idor_authz_differential,Metadata Only,No,No
General,test_probe_idor_sequential,Metadata Only,No,No
General,test_probe_ldap_injection,Metadata Only,No,No
General,test_probe_mass_assignment,Metadata Only,No,No
General,test_probe_path_traversal,Metadata Only,No,No
General,test_probe_primitives,Metadata Only,No,No
General,test_probe_prototype_pollution,Metadata Only,No,No
General,test_probe_race_condition,Metadata Only,No,No
General,test_probe_reflected_xss,Metadata Only,No,No
General,test_probe_registry,Metadata Only,No,No
General,test_probe_ssti_stored,Metadata Only,No,No
General,test_probe_stored_xss,Metadata Only,No,No
Web Enumeration,test_probe_web3,Metadata Only,No,No
Web Enumeration,test_probe_web_cache_deception,Metadata Only,No,No
General,test_probe_xxe_upload,Metadata Only,No,No
General,test_providers,Metadata Only,No,No
General,test_registry_bridge,Metadata Only,No,No
General,test_scope,Metadata Only,No,No
General,test_spa_probes,Metadata Only,No,No
General,test_specialist_agents_coverage,Metadata Only,No,No
General,test_stage1,Metadata Only,No,No
General,test_tracing_and_telemetry,Metadata Only,No,No
General,test_working_memory,Metadata Only,No,No
General,tracing,Metadata Only,No,No
General,traffic_parser,Metadata Only,No,No
AI,train-filternet,Metadata Only,No,No
AI,train-simple,Metadata Only,No,No
General,TROUBLESHOOTING,Metadata Only,No,No
General,truncate,Metadata Only,No,No
General,trusted_header_bypass,Metadata Only,No,No
General,types,Metadata Only,No,No
General,unauthed-decision-log,Metadata Only,No,No
General,upgrade,Metadata Only,No,No
Port Scanning,urlscan,Metadata Only,No,No
General,utils_2,Metadata Only,No,No
General,validate-authentication,Metadata Only,No,No
General,vuln-auth_3,Metadata Only,No,No
General,vuln-ssrf_3,Metadata Only,No,No
General,vulnerability,Metadata Only,No,No
General,wayback,Metadata Only,No,No
General,waybackurls,Metadata Only,No,No
Web Enumeration,web3_probe,Metadata Only,No,No
Web Enumeration,webshell,Metadata Only,No,No
Web Enumeration,web_intelligence_view,Metadata Only,No,No
Web Enumeration,web_parser,Metadata Only,No,No
Web Enumeration,web_probes,Metadata Only,No,No
General,wechat-robot,Metadata Only,No,No
General,wechat_robot,Metadata Only,No,No
General,wordlist,Metadata Only,No,No
General,workflow-errors,Metadata Only,No,No
General,workflows,Metadata Only,No,No
General,workflow_engine_1,Metadata Only,No,No
Port Scanning,wpscan,Metadata Only,No,No
General,writer,Metadata Only,No,No
General,xxe_upload,Metadata Only,No,No
General,zap,Metadata Only,No,No
General,__init___112,Metadata Only,No,No
General,__init___115,Metadata Only,No,No
General,__init___116,Metadata Only,No,No
General,__init___142,Metadata Only,No,No
General,__init___146,Metadata Only,No,No
General,__init___153,Metadata Only,No,No
General,__init___203,Metadata Only,No,No
General,__init___22,Metadata Only,No,No
General,__init___34,Metadata Only,No,No
General,__init___64,Metadata Only,No,No
General,builtin-tools,Metadata Only,No,No
General,constants,Metadata Only,No,No
AI,CyberStrikeAIClientStreamListener,Metadata Only,No,No
AI,CyberStrikeAITab1,Metadata Only,No,No
AI,CyberStrikeAITabDotIcon,Metadata Only,No,No
General,headers_inject,Metadata Only,No,No
AI,hexstrike-ai-mcp,Metadata Only,No,No
AI,main,Metadata Only,No,No
General,mcp,Metadata Only,No,No
General,mcp_tools_test,Metadata Only,No,No
General,monitor_1,Metadata Only,No,No
General,options,Metadata Only,No,No
General,README_6,Metadata Only,No,No
General,SimpleJson,Metadata Only,No,No
General,sse_keepalive,Metadata Only,No,No
General,SslTrustAll1,Metadata Only,No,No
General,SslTrustAllTimeoutSslSocketFactory,Metadata Only,No,No
General,test_file_transfer,Metadata Only,No,No
General,test_handlers_misc,Metadata Only,No,No
General,__init___38,Metadata Only,No,No
General,__init___55,Metadata Only,No,No
AI,__main__,Metadata Only,No,No
Cloud,404StarLinkLogo,Partial,Yes,No
Cloud,agent-management,Partial,Yes,No
Cloud,agents-for,Partial,Yes,No
Cloud,ai_analysis,Partial,Yes,No
Cloud,alterations,Partial,Yes,No
Cloud,announcements,Partial,Yes,No
Cloud,AUP,Partial,Yes,No
Cloud,auth_profiles,Partial,Yes,No
Cloud,aws,Partial,Yes,No
Cloud,aws_recon,Partial,Yes,No
Cloud,aws_sm,Partial,Yes,No
Cloud,azure,Partial,Yes,No
