Repository,Location,Language,Status,Entry Point,Integration Type,Notes
errors,plugins\api_security\errors,Python,Metadata Only,,Plugin,
evidence,plugins\api_security\evidence,Python,Metadata Only,,Plugin,
executor_2,plugins\api_security\executor_2,Python,Metadata Only,,Plugin,
exploit-authz_1,plugins\api_security\exploit-authz_1,Python,Metadata Only,,Plugin,
exploit-authz_3,plugins\api_security\exploit-authz_3,Python,Metadata Only,,Plugin,
express-scaffold,plugins\api_security\express-scaffold,Python,Metadata Only,,Plugin,
external_mcp_test,plugins\api_security\external_mcp_test,Python,Metadata Only,,Plugin,
extract_cookie,plugins\api_security\extract_cookie,Python,Metadata Only,,Plugin,
facebook,plugins\api_security\facebook,Python,Metadata Only,,Plugin,
feature-collector,plugins\api_security\feature-collector,Python,Metadata Only,,Plugin,
