Capability,Repositories,Recommendation,Reason
Utilities,README_CN_3,Archive,Duplicate/Lower score
Utilities,recon,Archive,Duplicate/Lower score
Utilities,reconx_engine,Archive,Duplicate/Lower score
Utilities,REFERENCE,Archive,Duplicate/Lower score
Utilities,reflected_xss,Archive,Duplicate/Lower score
Utilities,registry,Archive,Duplicate/Lower score
Utilities,release-pypi,Archive,Duplicate/Lower score
Utilities,replay,Archive,Duplicate/Lower score
Utilities,report-snippet,Archive,Duplicate/Lower score
Utilities,report_18,Archive,Duplicate/Lower score
Utilities,report_injector,Archive,Duplicate/Lower score
Utilities,report_injector_1,Archive,Duplicate/Lower score
Utilities,requirements_6,Archive,Duplicate/Lower score
Utilities,reset_juice_shop,Archive,Duplicate/Lower score
Utilities,retrieval_postprocess,Archive,Duplicate/Lower score
Utilities,retry,Archive,Duplicate/Lower score
Utilities,review,Archive,Duplicate/Lower score
Utilities,robot,Archive,Duplicate/Lower score
Utilities,robot_en,Archive,Duplicate/Lower score
Utilities,roles,Archive,Duplicate/Lower score
Utilities,route_correlator,Archive,Duplicate/Lower score
Utilities,RunCommand,Archive,Duplicate/Lower score
Utilities,runner,Archive,Duplicate/Lower score
Utilities,saml_xsw,Archive,Duplicate/Lower score
Utilities,sandbox,Archive,Duplicate/Lower score
Utilities,sanitize,Archive,Duplicate/Lower score
Utilities,schedulertest,Archive,Duplicate/Lower score
Utilities,scheduler_2,Archive,Duplicate/Lower score
Utilities,scope,Archive,Duplicate/Lower score
Utilities,search,Archive,Duplicate/Lower score
Utilities,SecurityHeaderAnalyzertest,Archive,Duplicate/Lower score
Utilities,server,Archive,Duplicate/Lower score
Utilities,service,Archive,Duplicate/Lower score
Utilities,services_commands,Archive,Duplicate/Lower score
Utilities,service_intelligence_view,Archive,Duplicate/Lower score
Utilities,settings,Archive,Duplicate/Lower score
Utilities,shared,Archive,Duplicate/Lower score
Utilities,sherlock,Archive,Duplicate/Lower score
Utilities,shodan_api,Archive,Duplicate/Lower score
